283500	315000	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).	ICAO Európai Léginavigációs Terv X. rész (COM-4 táblázat)Az Európai Tengeri Övezetben a tengeri rádiónavigáció szolgálat (rádió-irányadók) tervezésével megbízott körzeti igazgatási értekezlet (Genf, 1985) záróokiratai	
283500	315000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
283500	315000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
315000	325000	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
315000	325000	nmhh	H4	K	Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pontI. kötet C melléklet 6. pontV. kötet 3. fejezet 3.2. pontV. kötet B melléklet ICAO Európai Léginavigációs Terv X. rész(COM-4 táblázat)	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
315000	325000	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).		
315000	325000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
315000	325000	nmhh	H5		Orvosi implantátumok (állatba ültethető eszközök) (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 300 330-2	
325000	405000	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
325000	405000	nmhh	H4	K	Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pont I. kötet C melléklet 6. pont V. kötet 3. fejezet 3.2. pont V. kötet B melléklet	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
